Time,Speed,Experience
12.6,Rapid,More
14.1,Rapid,More
14.2,Rapid,More
15.1,Rapid,More
15.2,Rapid,More
15.2,Rapid,More
15.6,Rapid,More
16.4,Med,More
17.1,Rapid,More
18.1,Rapid,More
18.2,Rapid,More
18.8,Rapid,More
19.1,Rapid,More
19.5,Rapid,More
19.6,Rapid,More
20.9,Med,More
20.9,Med,More
21.3,Med,More
21.4,Rapid,More
21.8,Med,More
22.1,Med,More
22.7,Med,More
22.7,Rapid,More
22.7,Rapid,More
22.9,Med,More
23.6,Rapid,More
23.8,Rapid,More
24.1,Med,More
24.2,Rapid,More
24.3,Rapid,More
24.5,Rapid,More
24.5,Rapid,More
24.6,Rapid,More
25.6,Med,More
25.7,Rapid,More
26.2,Rapid,More
26.9,Rapid,More
26.9,Rapid,More
28,Med,More
28.1,Rapid,More
28.3,Med,More
28.9,Low,More
28.9,Med,More
29.3,Rapid,More
30,Rapid,More
31.3,Rapid,More
31.4,Med,More
31.4,Med,More
31.4,Rapid,More
31.6,Low,More
31.7,Low,More
31.7,Med,More
31.8,Low,More
31.8,Med,More
32.4,Med,More
33.3,Med,More
34,Med,More
34.2,Low,More
34.6,Low,More
35.1,Med,More
35.9,Med,More
36,Med,More
36.4,Med,More
36.6,Med,More
37.7,Low,More
37.7,Med,More
38.2,Med,More
38.3,Low,More
38.4,Rapid,More
39.3,Med,More
39.4,Rapid,More
40.5,Low,More
41.4,Low,More
41.9,Low,More
42.1,Low,More
42.2,Low,More
44.2,Med,More
45.1,Med,More
45.2,Med,More
45.5,Med,More
45.5,Rapid,More
45.6,Med,More
45.6,Med,More
45.9,Med,More
46.4,Med,More
47.2,Low,More
47.4,Med,More
48.7,Low,More
48.9,Med,More
50,Low,More
51.4,Low,More
51.9,Low,More
53,Low,More
53.9,Low,More
53.9,Low,More
56.3,Low,More
56.4,Low,More
58.4,Low,More
61.3,Low,More
63,Med,More
64.6,Low,More
64.7,Low,More
65.5,Low,More
70.2,Low,More
70.2,Low,More
71.5,Low,More
71.5,Low,More
74,Med,More
74.3,Low,More
76.4,Low,More
77.4,Low,More
79.9,Low,More
81.1,Low,More
81.9,Low,More
84.5,Low,More
85.6,Med,More
87.5,Low,More
90.6,Low,More
92.9,Low,More
92.9,Low,More
6.4,Rapid,Less
8.6,Rapid,Less
9.4,Rapid,Less
9.9,Rapid,Less
9.9,Rapid,Less
10.7,Rapid,Less
11.1,Rapid,Less
11.2,Rapid,Less
11.5,Rapid,Less
11.6,Rapid,Less
11.6,Rapid,Less
11.6,Rapid,Less
12.1,Med,Less
12.2,Rapid,Less
12.5,Rapid,Less
12.6,Rapid,Less
12.9,Rapid,Less
12.9,Rapid,Less
13.2,Rapid,Less
13.5,Rapid,Less
13.5,Rapid,Less
13.8,Rapid,Less
14.3,Rapid,Less
14.3,Rapid,Less
14.7,Rapid,Less
14.9,Rapid,Less
15.3,Rapid,Less
15.4,Rapid,Less
15.5,Rapid,Less
15.8,Rapid,Less
15.9,Rapid,Less
15.9,Rapid,Less
16,Rapid,Less
16,Rapid,Less
16.3,Med,Less
16.3,Med,Less
16.5,Med,Less
16.7,Rapid,Less
16.8,Rapid,Less
16.9,Med,Less
17.1,Med,Less
17.3,Med,Less
17.5,Med,Less
17.8,Rapid,Less
17.9,Low,Less
18,Med,Less
18,Med,Less
18.1,Rapid,Less
18.2,Rapid,Less
18.7,Med,Less
19.6,Med,Less
19.8,Rapid,Less
20.3,Med,Less
20.4,Med,Less
20.5,Rapid,Less
20.8,Med,Less
21.1,Med,Less
21.1,Med,Less
21.9,Rapid,Less
22.3,Low,Less
22.4,Med,Less
22.4,Med,Less
23.7,Med,Less
23.7,Med,Less
24,Med,Less
24.3,Med,Less
25.1,Med,Less
25.2,Low,Less
25.3,Med,Less
26.2,Low,Less
27.1,Low,Less
27.5,Low,Less
27.5,Med,Less
27.6,Low,Less
27.8,Med,Less
28.1,Rapid,Less
29.4,Med,Less
29.5,Low,Less
29.5,Med,Less
29.7,Med,Less
30.1,Med,Less
30.6,Low,Less
30.8,Med,Less
31.1,Med,Less
31.1,Rapid,Less
32.2,Low,Less
32.7,Low,Less
32.7,Med,Less
33.5,Low,Less
33.5,Med,Less
34.2,Med,Less
34.7,Low,Less
35,Rapid,Less
35.5,Med,Less
35.8,Low,Less
36.1,Low,Less
36.4,Rapid,Less
38.1,Med,Less
40.2,Low,Less
40.6,Low,Less
40.8,Med,Less
41.2,Low,Less
41.4,Med,Less
43.2,Low,Less
43.9,Low,Less
44,Low,Less
44,Low,Less
44.2,Low,Less
44.6,Low,Less
48.9,Low,Less
49.3,Low,Less
50.1,Low,Less
53,Low,Less
53.2,Low,Less
55,Low,Less
55.5,Low,Less
57,Low,Less
57.4,Low,Less
57.7,Low,Less
61.1,Low,Less
62.2,Low,Less
71.3,Low,Less
80.9,Low,Less
